A,B
1,"0001"
2,"0001"
3,"0001"
4,"0002"
5,"0002"
6,"0002"
7,"0002"
8,"0003"
9,"0003"
10,"0003"
11,"0003"
12,"0003"
13,"0004"
14,"0004"
15,"0004"
16,"0004"
17,"0005"
18,"0005"
19,"0006"
20,"0006"
21,"0006"
22,"0007"
23,"0007"
24,"0007"
25,"0008"
26,"0008"
27,"0008"
28,"0008"
29,"0009"
30,"0009"
31,"0009"
32,"0009"
33,"0010"
34,"0010"
35,"0010"
36,"0011"
37,"0011"
38,"0012"
39,"0012"
40,"0012"
41,"0012"
42,"0013"
43,"0013"
44,"0013"
45,"0013"
46,"0014"
47,"0014"
48,"0014"
49,"0015"
50,"0015"
51,"0015"
52,"0016"
53,"0016"
54,"0016"
55,"0016"
56,"0017"
57,"0017"
58,"0017"
59,"0017"
60,"0018"
61,"0018"
62,"0019"
63,"0019"
64,"0019"
65,"0019"
66,"0020"
67,"0020"
68,"0021"
69,"0021"
70,"0021"
71,"0021"
72,"0022"
73,"0022"
74,"0023"
75,"0023"
76,"0023"
77,"0024"
78,"0024"
79,"0024"
80,"0024"
81,"0025"
82,"0025"
83,"0026"
84,"0026"
85,"0026"
86,"0026"
87,"0027"
88,"0027"
89,"0027"
90,"0027"
91,"0028"
92,"0028"
93,"0028"
94,"0028"
95,"0029"
96,"0029"
97,"0029"
98,"0029"
99,"0030"
100,"0030"
101,"0030"
102,"0030"
103,"0031"
104,"0031"
105,"0032"
106,"0032"
107,"0032"
108,"0032"
109,"0033"
110,"0033"
111,"0033"
112,"0034"
113,"0034"
114,"0034"
115,"0034"
116,"0035"
117,"0035"
118,"0035"
119,"0035"
120,"0036"
121,"0036"
122,"0036"
123,"0037"
124,"0037"
125,"0038"
126,"0038"
127,"0038"
128,"0038"
129,"0039"
130,"0039"
131,"0039"
132,"0039"
133,"0040"
134,"0040"
